AVG_MONTHLY_HRS,DEPT_ID,FILED_COMPLAINT,LAST_EVALUATION,N_PROJECTS,RECENTLY_PROMOTED,SALARY,SATISFACTION,STATUS,TENURE,EMPLOYEE_ID,DEPT_NAME,DEPT_HEAD
246,D00-PD,0,0.866838,6,0,medium,0.134415,Left,4,124467,Product,Darcy Staines
134,D00-PD,0,0.555718,2,0,low,0.511041,Left,3,112210,Product,Darcy Staines
156,D00-SS,1,0.474082,2,0,medium,0.405101,Left,3,126150,Sales,Edward J Bayley
256,D00-SP,0,0.96136,6,0,low,0.152974,Left,4,125346,Support,Amelia Westray
146,D00-SS,0,0.507349,2,0,medium,0.434845,Left,3,113707,Sales,Edward J Bayley
135,D00-MT,0,0.482184,2,0,low,0.381545,Left,3,121685,Marketing,Reuben Swann
270,D00-PD,0,0.867087,6,0,low,0.172575,Left,4,119912,Product,Darcy Staines
244,D00-IT,0,0.926197,6,0,medium,0.0618684,Left,5,112868,IT,Henry Adey
289,D00-IT,0,0.929858,7,0,low,0.161744,Left,4,122314,IT,Henry Adey
281,D00-SS,0,0.907965,6,0,medium,0.105749,Left,4,122394,Sales,Edward J Bayley
269,D00-SP,0,0.867086,6,0,low,0.121133,Left,4,119750,Support,Amelia Westray
267,D00-SP,0,0.953585,5,0,low,0.87131,Left,6,119512,Support,Amelia Westray
257,D00-AD,0,0.886631,5,0,low,0.265318,Left,5,118061,Admin,Evelyn Tolson
155,D00-MT,0,0.521682,2,0,low,0.387475,Left,3,111718,Marketing,Reuben Swann
269,D00-SS,0,0.959077,4,0,medium,0.960757,Left,5,126860,Sales,Edward J Bayley
244,D00-MN,0,0.943946,7,0,medium,0.171328,Left,4,117404,Management,Ellie Trafton
256,D00-SS,0,0.897617,5,0,medium,0.753731,Left,5,110655,Sales,Edward J Bayley
128,D00-SS,0,0.504768,2,0,medium,0.485149,Left,3,111708,Sales,Edward J Bayley
274,D00-PD,0,1,5,0,low,0.799562,Left,5,124926,Product,Darcy Staines
155,D00-SS,0,0.440299,2,0,low,0.415771,Left,3,128624,Sales,Edward J Bayley
151,D00-SS,0,0.448019,2,0,low,0.42688,Left,3,125108,Sales,Edward J Bayley
127,D00-ENG,0,0.733073,2,0,low,0.370515,Left,3,114322,Engineering,Sushant Raghunathan K
151,D00-MT,0,0.531487,2,0,low,0.390047,Left,3,111365,Marketing,Reuben Swann
132,D00-SS,0,0.566959,5,0,low,0.293481,Left,5,123197,Sales,Edward J Bayley
128,D00-ENG,0,0.499776,2,0,low,0.335383,Left,3,113448,Engineering,Sushant Raghunathan K
155,D00-PD,0,0.464598,2,0,medium,0.414451,Left,3,127792,Product,Darcy Staines
309,D00-ENG,0,0.78484,6,0,low,0.0785233,Left,4,127317,Engineering,Sushant Raghunathan K
130,D00-MT,0,0.463049,2,0,low,0.401826,Left,3,119126,Marketing,Reuben Swann
156,D00-PD,0,0.732204,2,0,medium,0.465747,Left,3,128509,Product,Darcy Staines
233,D00-ENG,0,0.936729,4,0,low,0.899675,Left,6,120875,Engineering,Sushant Raghunathan K
